Galactocentric Raidus,Cluster Metallicity,Number of Objects in the Cluster,Cluster Mass,Observational Core Radius,Observational Half-Light Radius,Central Surface Brightness Total,Binary Fraction,Half-Mass Relaxation Time,Total Luminosity of Cluster at 12 Gyrs,Central Velocity Dispersion 3d,Total V-band luminosity,Central surface brightness from King 62 fitting of cumulative luminosity profile from snap-2D.dat,Core radius obtained from King 62 fitting of snap-2D.dat,Half-light radius obtained from King 62 fitting,Total luminosity from snap-2D,Single Black Holes,Binary Black Holes,Black Hole Other Count,Mass of Most Massive Black Hole,Fallback Enabled,Central Velocity Dispersion,,
4.48320946,0.001,38920,23593.2395,0.38199204,3.41331654,109.6544,0.399229,885.619718,20229.8993,1.91635172,14969.5,423.6689736,1.781371092,3.85929,14969.5,0,1,0,21.9940839,0,1.94718,575.27,792.36
4.48320946,0.001,505043,164640.231,0.368882502,2.49120018,34827.6244,0.0992391,3460.54722,77000.7159,6.41749699,55168.4,4073.650913,1.031187672,2.54377,55168.4,1,0,0,5871.06239,0,10.1509,6338.3,22914
4.48320946,0.001,479417,158782.247,0.053348668,1.93099268,100139.011,0.130133,2958.52845,73983.4991,8.17478221,54178.7,24778.67583,0.2987243,2.03162,54178.7,1,0,0,5.90770021,1,5.44959,171360,93731
4.48320946,0.001,504171,173094.58,0.239726297,2.19303283,13710.0889,0.184856,3949.59389,85496.8882,5.93541943,61475.5,14689.3874,0.435038351,2.42598,61475.5,0,0,1,17.5420093,0,4.87986,22645,35459
4.48320946,0.001,501245,172722.684,0.458643881,2.5377459,2589.00642,0.192672,4089.66206,78996.9967,7.86762827,58285.7,6212.54226,0.757504274,2.64693,58285.7,3,1,0,12.3880863,1,4.49099,7351,12222
1.585053905,0.001,77397,45350.6187,0.022795768,1.94065728,7513.14923,0.0837113,326.033605,24996.2162,8.80521182,17710.4,4674.500936,0.458908932,1.86243,17710.4,1,0,0,11986.6235,0,22.6515,30626,41337
1.585053905,0.001,82339,46920.1119,0.047681519,1.67888108,17405.9661,0.0837149,368.021638,23840.8744,8.9229323,18414.8,2338.599636,0.77153235,1.98151,18414.8,1,0,0,11402.6902,0,27.7049,38631,41247
1.585053905,0.001,80170,46879.7806,0.050610128,2.02898815,7953.0184,0.080928,320.521561,22420.1334,7.60877866,16531.8,1831.76308,0.859784776,2.08952,16531.8,1,0,0,12716.3293,0,34.3424,11476,35649
1.585053905,0.001,103617,52713.4615,0.059664162,1.90046395,27228.7842,0.0921084,594.272918,28516.2383,5.81714856,22076.2,2961.463242,0.748692528,1.92885,22076.2,1,0,0,6095.44229,1,17.7364,16295,42726
1.585053905,0.001,77273,44823.6407,0.017036986,2.31705238,15719.5785,0.0875856,358.338335,23569.7134,3.79337858,16436.7,1781.516977,0.848089394,2.17897,16436.7,1,0,0,10539.2091,1,18.3139,17446,43505
1.585053905,0.001,113121,56139.3122,0.068844075,1.90814971,22113.6762,0.0913358,642.79438,34383.6124,3.81235183,25552.8,2620.23491,0.940960685,2.10064,25552.8,1,0,0,5413.92251,1,18.0189,16856,43712
1.585053905,0.001,139084,67204.1781,0.07323312,2.18643743,14132.3537,0.114463,814.375787,41620.9047,4.89367707,29287.6,3800.370781,0.675497883,2.37429,29287.6,1,0,0,6341.68262,0,19.5893,54947,28069
1.585053905,0.001,139380,66200.9073,0.297802336,1.06671194,15292.1127,0.14769,586.292921,51863.7654,3.90278914,32704.2,19294.22157,0.291475545,1.31677,32704.2,0,0,1,79.1282474,1,5.32278,24137,39061
12.68043124,0.001,185346,77300.193,10.849168,11.4558267,16.5855675,0.421126,12810.0951,34256.4132,3.46013305,25319.8,44.90365616,8.33414249,11.6098,25319.8,3,0,1,21.9941807,0,1.78628,39.211,242.52
12.68043124,0.001,136187,59471.1787,11.870538,13.2238607,9.79070516,0.410891,13006.5957,29647.1533,1.69118131,21692.3,32.68908968,4.199989946,13.8869,21692.3,61,3,3,37.4171419,1,1.64277,24.217,144.2
12.68043124,0.001,595987,196382.455,0.335476163,2.85502484,10823.7479,0.184335,5120.80312,93378.0243,8.23802887,66680.4,16323.16088,0.394443107,2.91284,66680.4,0,0,0,0,0,5.01298,17456,28784
12.68043124,0.001,594717,196391.956,0.925868192,2.85896931,3058.3331,0.189823,5366.03951,86697.6139,6.20952069,62704,5530.889734,0.813616724,3.0519,62704,3,0,4,10.3699222,1,5.24242,5026.7,12439
12.68043124,0.001,576822,201738.062,1.61499763,5.09316653,786.353256,0.264915,9022.52699,84955.9433,3.65344376,63357.9,2030.617772,1.310465021,5.29903,63357.9,1,0,1,22.6707636,0,3.84682,1540.9,4892
12.68043124,0.001,572566,199746.892,3.36466262,6.2547383,339.030931,0.260817,10740.1,86670.9108,2.13127518,63156.5,629.7498642,2.83693785,6.71552,63156.5,19,3,5,25.8532797,1,3.49142,536.59,2614
4.48320946,0.001,468241,154330.367,0.761391473,1.97823049,8011.68779,0.113508,2609.82045,71959.245,3.95927275,52097.8,8040.02513,0.6383108,2.11822,52097.8,0,0,1,2471.98299,0,7.48171,7705.2,27894
4.48320946,0.001,465821,154600.022,0.368303331,1.62796101,15731.324,0.127463,2600.43944,74070.2851,5.47547864,53238.3,15032.19708,0.432630773,1.82504,53238.3,0,0,1,138.378597,1,5.59759,16583,34856
4.48320946,0.001,531209,180718.012,0.383202252,1.95528495,6735.355,0.18248,3468.14686,87623.2583,8.26653216,62425.7,20183.24128,0.38741801,1.94443,62425.7,0,0,0,0,0,5.21872,18017,27854
4.48320946,0.001,521985,178356.262,1.2357576,2.25354517,2225.53499,0.189546,3862.50204,94763.7977,8.79015948,66135.1,4474.541455,1.182252912,2.52319,66135.1,5,0,0,10.9604349,1,4.89357,4880.4,10732
1.585053905,0.001,72222,43478.3251,0.156848918,1.74439072,16486.3982,0.0881587,309.750393,21608.8454,5.09705631,17013,4859.366216,0.431246309,1.7465,17013,0,0,1,11053.9622,0,22.9523,10626,39663
1.585053905,0.001,89869,48129.5926,0.023306003,1.78309447,6158.74182,0.0973639,515.273017,25056.606,4.10261151,19526.9,2339.654877,0.800029706,2.08449,19526.9,1,0,0,6126.8754,1,17.5254,38491,34527
1.585053905,0.001,175294,79884.5842,0.040305241,2.12753849,10511.6922,0.110055,957.953995,46587.1276,5.8147305,34032.9,3724.254749,0.795835415,2.26477,34032.9,1,0,0,6260.40299,0,16.1443,24152,37944
1.585053905,0.001,152582,70169.9297,0.445714114,1.44665596,5734.68876,0.141281,657.787005,47994.01,2.73854626,33979,5908.430745,0.689810652,1.65376,33979,0,0,1,312.543999,1,5.32006,8404.7,17747
12.68043124,0.001,604796,198435.278,0.323232552,2.340727,7844.53082,0.179801,4259.42644,82028.669,8.35265198,61078,9946.050704,0.567131153,2.48824,61078,0,0,3,12.2272723,0,5.42245,15217,26754
